iter	Passed	Remaining
0	24	29212
1	50	30225
2	72	29086
3	96	28983
4	117	28042
5	149	29732
6	181	30920
7	207	30912
8	229	30396
9	254	30262
10	295	31925
11	319	31678
12	363	33192
13	383	32512
14	415	32807
15	437	32385
16	461	32108
17	485	31887
18	512	31848
19	539	31829
20	566	31782
21	593	31800
22	623	31896
23	662	32461
24	692	32547
25	715	32316
26	740	32183
27	782	32764
28	805	32509
29	829	32331
30	851	32106
31	873	31865
32	894	31630
33	921	31588
34	946	31490
35	970	31389
36	1001	31487
37	1026	31386
38	1059	31538
39	1085	31472
40	1115	31545
41	1139	31412
42	1163	31311
43	1188	31232
44	1217	31250
45	1249	31350
46	1281	31446
47	1315	31560
48	1338	31433
49	1360	31289
50	1387	31256
51	1418	31327
52	1452	31430
53	1471	31229
54	1490	31021
55	1509	30842
56	1528	30647
57	1565	30831
58	1586	30684
59	1605	30512
60	1625	30350
61	1642	30152
62	1662	29998
63	1681	29847
64	1700	29698
65	1722	29594
66	1753	29660
67	1786	29735
68	1818	29800
69	1841	29720
70	1862	29611
71	1898	29746
72	1930	29810
73	1951	29696
74	1978	29679
75	2000	29583
76	2027	29563
77	2061	29657
78	2091	29677
79	2124	29743
80	2148	29674
81	2171	29603
82	2193	29526
83	2215	29433
84	2246	29466
85	2265	29346
86	2284	29221
87	2302	29100
88	2320	28962
89	2340	28869
90	2362	28788
91	2380	28671
92	2398	28554
93	2415	28414
94	2430	28270
95	2447	28148
96	2465	28031
97	2480	27897
98	2497	27780
99	2516	27683
100	2533	27571
101	2551	27468
102	2568	27355
103	2585	27251
104	2604	27159
105	2620	27044
106	2637	26942
107	2653	26834
108	2671	26740
109	2688	26645
110	2707	26558
111	2718	26408
112	2738	26342
113	2754	26242
114	2772	26158
115	2790	26077
116	2807	25991
117	2824	25900
118	2841	25809
119	2857	25715
120	2873	25624
121	2889	25534
122	2912	25500
123	2938	25495
124	2963	25481
125	2983	25428
126	3003	25376
127	3022	25314
128	3044	25280
129	3063	25213
130	3082	25152
131	3132	25343
132	3150	25278
133	3169	25211
134	3186	25140
135	3209	25111
136	3227	25039
137	3245	24974
138	3261	24896
139	3277	24818
140	3295	24750
141	3312	24679
142	3328	24605
143	3346	24541
144	3364	24479
145	3381	24409
146	3398	24342
147	3416	24282
148	3432	24211
149	3450	24153
150	3468	24093
151	3485	24033
152	3503	23975
153	3520	23909
154	3535	23837
155	3552	23772
156	3567	23701
157	3585	23643
158	3603	23590
159	3619	23525
160	3635	23463
161	3654	23417
162	3672	23364
163	3689	23309
164	3707	23253
165	3724	23202
166	3741	23143
167	3759	23093
168	3777	23043
169	3795	22996
170	3812	22940
171	3829	22889
172	3847	22837
173	3863	22782
174	3881	22736
175	3898	22681
176	3915	22627
177	3932	22577
178	3950	22531
179	3969	22491
180	3985	22439
181	4002	22387
182	4019	22340
183	4037	22294
184	4054	22244
185	4070	22192
186	4088	22147
187	4105	22099
188	4121	22047
189	4140	22011
190	4157	21964
191	4175	21922
192	4193	21879
193	4211	21837
194	4228	21791
195	4245	21746
196	4262	21704
197	4280	21664
198	4300	21629
199	4317	21586
200	4333	21539
201	4351	21497
202	4368	21455
203	4396	21463
204	4413	21420
205	4430	21376
206	4447	21334
